id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
9;10311;Bretzels au quinoa Priméal 200g;https://www.etiketbio.eu/biscuits-aperitif/8184-primeal-bretzels-au-quinoa-200g-3380390000437.html;BRETZELS AU QUINOA 200G;3380390000437;;681;2026-08-12 12:53:29
2367;103443;Sardines marinées au citron Phare d'Eckmühl 135g;https://www.etiketbio.eu/sardines/25198-phare-deckmuhl-sardines-marinees-au-citron-sans-huile-135gr-3263670007985.html;Sardines citron sans huile Phare d’Eckmühl;3263670007985;;429;2026-08-13 13:25:46
316;103515;Huile de Colza Quintesens 1l;https://www.etiketbio.eu/hygiene-et-soins/19767-quintesens-huile-bebe-25cl-3700663000221.html;Huile bebe 25cl;3700663000221;;93;2026-08-12 15:20:55
1199;103597;Purée pomme poire Danival 4x100g;https://www.etiketbio.eu/purees-de-fruits/12448-danival-dessert-de-fruits-pomme-poire-100-4x100-3431590013632.html;Purée pomme poire bio Danival 4x100g;3431590013632;;784;2026-08-13 10:04:31
1789;103795;Kivi figue et au citron Vitamont 75 cl;https://www.etiketbio.eu/kombucha/30829-kivi-cerise-hibiscus-75cl-vitamont-3289196810298.html;Kivi cerise hibiscus bio 75cl – Vitamont;3289196810298;;164;2026-08-13 12:04:57
1832;103796;Kivi au gingembre Vitamont 75 cl;https://www.etiketbio.eu/kombucha/30829-kivi-cerise-hibiscus-75cl-vitamont-3289196810298.html;Kivi cerise hibiscus bio 75cl – Vitamont;3289196810298;;219;2026-08-13 12:09:25
566;103888;Thé vert aux agrumes Destination 80g;https://www.etiketbio.eu/the-vert-parfume/24424-destination-the-vert-agrumes-80gr-bio-3700110050618.html;The vert agrumes 80gr bio;3700110050618;;377;2026-08-13 07:54:50
208;104099;Poivrons rouges grillés Rapunzel 310g;https://www.etiketbio.eu/conserves-de-legumes/29444-poivrons-rouges-grilles-en-saumure-310g-4006040008798.html;Poivrons rouges grillés 310g Rapunzel;4006040008798;;1000;2026-08-12 15:14:30
1115;104603;Herbes de Provence écorecharge Cook 20g;https://www.etiketbio.eu/herbes-aromates-bio/30768-eco-recharge-herbes-de-provence-20g-cook-arcadie-3417960042051.html;Herbes de Provence bio Cook 20g;3417960042051;;643;2026-08-13 09:51:29
1033;104945;Biscuits petit beurre sans gluten Céliane 130g;https://www.etiketbio.eu/biscuits-secs/29641-biscuits-petit-beurre-130g-celiane-3700566453506.html;Petit Beurre Céliane sans gluten 130g;3700566453506;;764;2026-08-13 09:38:41
