id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1944;13622;Couscous aux 7 légumes Prosain 680g;https://www.etiketbio.eu/plats-prepares/7788-prosain-couscous-aux-7-legumes-680g-3335880006208.html;Couscous aux 7 legumes 680g;3335880006208;;726;46247,52049
129;13630;Graines de pavot Priméal 250g;https://www.etiketbio.eu/graines-de-pavot-bio/8296-primeal-graines-de-pavot-250g-3380390214506.html;Graines de pavot 250g;3380390214506;;672;46246,55069
617;13788;Argile verte surfine naturelle Argiletz 300g;https://www.etiketbio.eu/argile-verte/25864-argiletz-argile-verte-surfine-300g-3326100000069.html;Argile Verte Surfine 300g Argiletz;3326100000069;;726;46247,34722
2452;14081;Son d'avoine Markal 3kg;https://www.etiketbio.eu/grands-formats/25304-markal-son-avoine-3-kg-3329482681031.html;Son d’avoine bio 3kg - Markal;3329482681031;;733;46247,5664
58;14177;Trio de lentilles Priméal 500g;https://www.etiketbio.eu/lentilles-bio/7924-primeal-trio-de-lentilles-500g-3380380037283.html;Trio de lentilles bio 500g - Priméal;3380380037283;;781;46246,54041
1133;14616;Aneth graines Cook 35g;https://www.etiketbio.eu/epices-en-graines-bio/30763-aneth-graines-35g-cook-arcadie-3417960022473.html;Aneth graines bio Cook 35g;3417960022473;;733;46247,41324
1053;14618;Baies roses Cook 20g;https://www.etiketbio.eu/poivres-baies-bio/8888-cook-baies-roses-entieres-20-g-3417960022497.html;Baies roses bio Cook 20g;3417960022497;;727;46247,40402
1114;14619;Basilic en feuilles Cook 15g;https://www.etiketbio.eu/herbes-aromates-bio/8889-cook-basilic-feuille-15g-3417960022503.html;Basilic feuilles bio Cook 15g;3417960022503;;702;46247,41066
1046;14620;Bouquet garni Cook 30g;https://www.etiketbio.eu/herbes-aromates-bio/8890-cook-bouquet-garni-30-g-3417960022510.html;Bouquet garni bio Cook 30g;3417960022510;;733;46247,40323
1102;14622;Bâtons de cannelle Cook 12g;https://www.etiketbio.eu/epices-patisserie-bio/8892-canelle-tuyaux-12-g-3417960022534.html;Bâtons de cannelle bio Cook 12g;3417960022534;;776;46247,41003
1065;14625;Cardamome fruits Cook 25g;https://www.etiketbio.eu/epices-en-graines-bio/8893-cook-cardamone-fruits-25-g-3417960022541.html;Cardamome fruits bio Cook 25g;3417960022541;;741;46247,40509
1101;14626;Carvi graines Cook 45g;https://www.etiketbio.eu/epices-en-graines-bio/8895-cook-carvi-graines-45g-3417960022565.html;Carvi graines bio Cook 45g;3417960022565;;733;46247,40993
1100;14632;Cumin graines Cook 40g;https://www.etiketbio.eu/epices-en-graines-bio/8901-cook-cumin-graine-40g-3417960022626.html;Cumin graines bio Cook 40g;3417960022626;;733;46247,40984
1120;14633;Cumin moulu Cook 40g;https://www.etiketbio.eu/epices-en-poudre-bio/8902-cook-cumin-poudre-40g-3417960022633.html;Cumin moulu bio Cook 40g;3417960022633;;727;46247,41154
1054;14637;Fenouil graines Cook 30g;https://www.etiketbio.eu/epices-en-graines-bio/8906-cook-fenouil-graines-30g-3417960022671.html;Fenouil graines bio Cook 30g;3417960022671;;738;46247,40411
1070;14638;Fenouil moulu Cook 30g;https://www.etiketbio.eu/epices-en-poudre-bio/8907-cook-fenouil-poudre-30g-3417960022688.html;Fenouil moulu bio Cook 30g;3417960022688;;733;46247,40534
1039;14639;Fenugrec moulu Cook 55g;https://www.etiketbio.eu/epices-en-poudre-bio/8908-cook-fenugrec-poudre-55g-3417960022695.html;Fenugrec moulu bio Cook 55g;3417960022695;;736;46247,40264
