id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1317;15767;Muesli croustillant miel et sarrasin Favrichon 500g;https://www.etiketbio.eu/granola-crunchy-krounchy/6590-favrichon-muesli-croustillant-miel-sarrasin-500g-3111900350588.html;Muesli miel sarrasin bio Favrichon 500g;3111900350588;;587;46247,43846
459;16101;Café décaféiné Destination 100g;https://www.etiketbio.eu/cafe-soluble/21241-destination-cafe-lyophilise-decafeine-100g-3700110005373.html;Cafe lyophilise decafeine 100g;3700110005373;;541;46247,31858
616;16289;Bicarbonate de soude alimentaire Ah Table 500g;https://www.etiketbio.eu/ingredients-poudres-patissiers/13223-a-table-bicarbonate-soude-alimentaire-500g-3760138831507.html;Bicarbonate alimentaire Ah! Table! 500g;3760138831507;;637;46247,34557
1393;16504;Huile de cameline Emile Noël 25cl;https://www.etiketbio.eu/huiles/7400-emile-noel-huile-vierge-de-cameline-25cl-3291960011695.html;Huile vierge de cameline 25cl;3291960011695;;516;46247,449
557;16551;Haricots verts Extra fins Luce 400g;https://www.etiketbio.eu/haricots-verts-haricots-beurre-bio/24031-luce-haricots-vert-400g-3329489900609.html;Haricots verts bio Luce 400g;3329489900609;;550;46247,32868
1941;16836;Riste d'aubergines Prosain 650g;https://www.etiketbio.eu/plats-prepares/7779-prosain-riste-daubergines-650g-3335880005997.html;Riste d'aubergines 650g;3335880005997;;635;46247,51988
771;17014;Chocolat blanc et fruits rouges Bonneterre 100g;https://www.etiketbio.eu/chocolat-blanc-bio/8733-bonneterre-chocolat-blanc-fruits-rouges-100g-3396413709331.html;Chocolat blanc fruits rouges 100g;3396413709331;;589;46247,36657
364;17247;Bonbons helix rouleaux de réglisse Pural 100g;https://www.etiketbio.eu/confiseries/19549-puraliment-helix-rouleaux-de-reglisse-100g-3184340092578.html;Helix rouleaux de reglisse 100g;3184340092578;;583;46246,64549
1938;17326;Curry d'aubergines Prosain 650g;https://www.etiketbio.eu/plats-prepares/7778-prosain-curry-daubergines-650g-3335880005980.html;Curry d'aubergines 650g;3335880005980;;635;46247,51949
1215;17446;Soupe de lentilles corail et épices douces Danival 50cl;https://www.etiketbio.eu/soupes-bio-pretes-a-deguster/9276-danival-soupe-saveur-sachet-lentilles-corail-et-epices-500gr-3431590009444.html;Soupe lentilles corail épices Danival 50cl;3431590009444;;577;46247,42247
1739;17768;Mini pur jus de tomates Vitamont 25cl;https://www.etiketbio.eu/jus-de-tomate/7266-vitamont-mini-pur-jus-de-tomate-de-marmande-25cl-3289196400093.html;Mini jus tomate Vitamont 25cl;3289196400093;;502;46247,50119
24;17913;Millet décortiqué Priméal 500g;https://www.etiketbio.eu/millet-bio/23597-primeal-millet-decortique-france-500g-3380380055256.html;Millet decortique france 500g;3380380055256;;559;46246,5383
1528;18056;Flocons de pois chiches Celnat 350g;https://www.etiketbio.eu/flocons-de-legumineuses-bio/14764-celnat-flocons-de-pois-chiche-350g-3273120019451.html;Flocons de pois chiche 350g;3273120019451;;581;46247,46346
1388;18780;Huile d'olive vierge extra origine France Emile Noël 50cl;https://www.etiketbio.eu/huile-d-olive/21799-emile-noel-huile-dolive-vierge-extra-france-50cl-3291960008541.html;Huile d'olive vierge extra france 50cl;3291960008541;;530;46247,44843
433;19266;Café breakfast Destination 250g;https://www.etiketbio.eu/cafe/21232-destination-cafe-breakfast-petit-dej-250g-3700110001764.html;Cafe breakfast petit dej 250g;3700110001764;;500;46247,31858
1118;19538;Mélange pour compote et crumble Cook 35g;https://www.etiketbio.eu/epices-patisserie-bio/8971-cook-melange-compote-crumble-35g-3417960033516.html;Mélange compote crumble bio Cook 35g;3417960033516;;602;46247,41134
142;19641;Riz Mélo Pois Cassé Lin Priméal 500g;https://www.etiketbio.eu/preparations-a-base-de-riz/8025-primeal-riz-melo-pois-casse-lin-500-g-3380380060588.html;Riz mélo pois cassés et lin bio Priméal 500g;3380380060588;;600;46246,5514
583;19748;Céréales Ka'Ré fourrées chocolat noisettes Grillon d'Or 500g;https://www.etiketbio.eu/cereale-enfant-petit-dejeuner/9064-grillon-dor-kare-fourre-chocolat-noisette-500g-3421557500985.html;Ka’ré chocolat noisettes Grillon d’Or 500g;3421557500985;;612;46247,33819
1202;20006;Purée de  poire Dani¿Pom Danival 700G;https://www.etiketbio.eu/purees-de-fruits/14774-danival-danipom-100-poire-700g-3431590002544.html;Dani’Pom 100% Poire 700g Danival;3431590002544;;533;46247,42
1555;20306;Pur jus de clémentines Vitamont 75cl;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7291-vitamont-pur-jus-de-clementine-75cl-3289196500083.html;Pur jus de clementine 75cl;3289196500083;;559;46247,49538
218;20393;Sucre de canne complet Rapadura Rapunzel 500g;https://www.etiketbio.eu/sucre-de-canne-bio/10823-rapunzel-rapadura-sucre-de-canne-complet-500g-4006040104384.html;Rapadura sucre complet Rapunzel 500g;4006040104384;;635;46246,63583
227;20398;Feuilles de vigne au riz Rapunzel 280g;https://www.etiketbio.eu/conserves-de-legumes/22493-dolmas-feuille-de-vigne-au-riz-280g-8697418143911.html;Dolmas feuille de vigne au riz 280g;8697418143911;;548;46246,63686
226;20409;Levure boulangère déshydratée Rapunzel 9g;https://www.etiketbio.eu/levain/25248-rapunzel-levure-boulanger-9g-4006040013815.html;Levure boulangère bio Rapunzel 9g;4006040013815;;627;46246,63679
223;20412;Dattes Deglet Nour Rapunzel 500g;https://www.etiketbio.eu/dattes-bio/22554-rapunzel-dattes-deglet-nour-bio-500g-6194000395106.html;Dattes deglet nour bio 500g;6194000395106;;624;46246,63655
1144;20527;Nuit zen Diet Horizon 30 comprimés;https://www.etiketbio.eu/stress-nervosite/11262-nuit-zen-30comp-5060072732471.html;Nuit zen 30 comprimés;5060072732471;;509;46247,41625
149;20549;Trio de riz de Camargue long complet Priméal 500g;https://www.etiketbio.eu/riz-de-camargue-bio/7996-primeal-trio-de-riz-de-camargue-igp-500g-3380380057113.html;Trio de riz de Camargue IGP bio Priméal 500g;3380380057113;;636;46246,55166
2255;20629;Thé blanc à la fleur d'oranger Thés de la pagode 100g;https://www.etiketbio.eu/the-blanc-bio/25675-the-blanc-fleur-d-oranger-bio-100g-3363791412399.html;Thé Blanc Fleur d'Oranger Bio Les Thés de la Pagode;3363791412399;;642;46247,53978
650;20706;Boisson bio millet amande noisette Bonneterre 1L;https://www.etiketbio.eu/boisson-aux-noisettes-bio/8582-boisson-millet-amande-noisette-1l-3396410216115.html;Boisson millet amande noisette 1l;3396410216115;;582;46247,35531
105;21516;Piperade Priméal 650g;https://www.etiketbio.eu/plats-prepares/13384-primeal-piperade-650g-3700477609153.html;Piperade 650g;3700477609153;;510;46246,54612
1340;21555;Sel régénérant Etamine du Lys 2,5kg;https://www.etiketbio.eu/sel-regenerant-/20917-etamine-du-lys-sel-regenerant-25-kg-3538394911307.html;Sel régénérant lave-vaisselle 2,5kg Etamine du Lys;3538394911307;;641;46247,44258
649;21704;Boisson bio riz épeautre noisette Bonneterre 20CL;https://www.etiketbio.eu/boisson-a-l-epeautre-bio/8727-bonneterre-boisson-riz-epeautre-noisette-20cl-3396413705593.html;Boisson riz epeautre noisette 20cl;3396413705593;;585;46247,35513
505;22914;Haricots verts extra fins Luce 800g;https://www.etiketbio.eu/haricots-verts-haricots-beurre-bio/24032-luce-haricots-vert-800g-3329489900616.html;Haricots verts bio Luce 800g;3329489900616;;550;46247,32439
1333;23195;Barre myrtille Evernat 40G;https://www.etiketbio.eu/barre-de-fruits-secs/8626-evernat-barre-myrtille-40g-3396411217951.html;Barre myrtille 40g;3396411217951;;614;46247,44132
769;23774;Chocolat au lait éclats de caramel Bonneterre 100g;https://www.etiketbio.eu/chocolat-au-lait-bio/8606-bonneterre-chocolat-lait-eclats-de-caramel-100g-3396411216305.html;Chocolat lait eclats de caramel 100g;3396411216305;;628;46247,36638
77;23857;Spirales demi complètes 3 minutes Priméal 500g;https://www.etiketbio.eu/pate-demi-complete/8266-primeal-spirales-1-2-completes-100-france-500g-3380390184403.html;Spirales demi-complètes bio 500g Priméal France;3380390184403;;599;46246,54183
1287;24043;Céréales Crosti Oz Miel Favrichon 300g;https://www.etiketbio.eu/cereale-soufflee/23979-favrichon-crosti-bombs-miel-300gr-3111900330085.html;Crosti Bombs Miel Favrichon 300g;3111900330085;;533;46247,43609
1346;24283;Recharge à diluer salle de bain Etamine Du Lys 50ml;https://www.etiketbio.eu/nettoyant-salle-de-bains/16539-etamine-du-lys-recharge-a-diluer-salle-de-bains-50-ml-3538395002103.html;Recharge salle de bains 50ml Etamine du Lys;3538395002103;;626;46247,44433
2183;24358;Pur jus de 5 superfruits Prosain 50CL;https://www.etiketbio.eu/jus-de-fruits/7810-prosain-pur-jus-5-superfruits-50cl-3335880007922.html;Pur jus 5 superfruits 50cl;3335880007922;;590;46247,52868
118;24535;Levure douce à paillette Priméal 150g;https://www.etiketbio.eu/levures-alimentaires/8064-primeal-levure-douce-paillettes-150g-en-etui-3380380070259.html;Levure Douce Paillettes Priméal 150g;3380380070259;;639;46246,54753
