id,Nb_colonnes_modifiees,Colonnes_modifiees,code_interne,code_interne_Base1,code_interne_Differe,ean,ean_Base1,ean_Differe,description,description_Base1,description_Differe,marque,marque_Base1,marque_Differe,volume,volume_Base1,volume_Differe,lien_fiche,lien_fiche_Base1,lien_fiche_Differe,caracteristique,caracteristique_Base1,caracteristique_Differe,url_img,url_img_Base1,url_img_Differe,categorie_id,categorie_id_Base1,categorie_id_Differe,ean_valide,ean_valide_Base1,ean_valide_Differe,date_validation,date_validation_Base1,date_validation_Differe
6566,1,ean,103888,103888,NON,3700110050618,,OUI,Thé vert aux agrumes Destination 80g,Thé vert aux agrumes Destination 80g,NON,Destination,Destination,NON,80g,80g,NON,https://eau-vive.com/magasin-bio/produit/the-vert-aux-agrumes-destination-80g_103888,https://eau-vive.com/magasin-bio/produit/the-vert-aux-agrumes-destination-80g_103888,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/8a/d1/8b2e1eedb94b384e290523daff95.jpg,https://api.eau-vive.com/media/cache/drive_card_list/8a/d1/8b2e1eedb94b384e290523daff95.jpg,NON,4.0,4.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
6638,1,ean,116548,116548,NON,,3760349451181,OUI,Recharge pour spray anti-calcaire Pimpant 50g,Recharge pour spray anti-calcaire Pimpant 50g,NON,Pimpant,Pimpant,NON,50g,50g,NON,https://eau-vive.com/magasin-bio/produit/recharge-pour-spray-anti-calcaire-pimpant-50g_116548,https://eau-vive.com/magasin-bio/produit/recharge-pour-spray-anti-calcaire-pimpant-50g_116548,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/ee/c8/0aea1c4d7862aab42e9227f20828.jpg,https://api.eau-vive.com/media/cache/drive_card_list/ee/c8/0aea1c4d7862aab42e9227f20828.jpg,NON,7.0,7.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
6639,1,ean,123369,123369,NON,,3760349456315,OUI,Tablettes lave-vaisselle sans film Pimpant x30,Tablettes lave-vaisselle sans film Pimpant x30,NON,Pimpant,Pimpant,NON,540g,540g,NON,https://eau-vive.com/magasin-bio/produit/tablettes-lave-vaisselle-sans-film-pimpant-x30_123369,https://eau-vive.com/magasin-bio/produit/tablettes-lave-vaisselle-sans-film-pimpant-x30_123369,NON,,,NON,,,NON,7.0,7.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
6648,1,ean,116546,116546,NON,,3770013543050,OUI,Savon détachant artisanal Pimpant 75g,Savon détachant artisanal Pimpant 75g,NON,Pimpant,Pimpant,NON,1Kg,1Kg,NON,https://eau-vive.com/magasin-bio/produit/savon-detachant-artisanal-pimpant-75g_116546,https://eau-vive.com/magasin-bio/produit/savon-detachant-artisanal-pimpant-75g_116546,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/b0/f1/b6c742d0b01072f96e09c10caeec.jpg,https://api.eau-vive.com/media/cache/drive_card_list/b0/f1/b6c742d0b01072f96e09c10caeec.jpg,NON,7.0,7.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
6655,1,ean,24121,24121,NON,,3760138835383,OUI,Sacs de congélation éco Ah Table 25x30cm x30,Sacs de congélation éco Ah Table 25x30cm x30,NON,Ah Table,Ah Table,NON,2.80€ / Unité,2.80€ / Unité,NON,https://eau-vive.com/magasin-bio/produit/sacs-de-congelation-eco-ah-table-25x30cm-x30_24121,https://eau-vive.com/magasin-bio/produit/sacs-de-congelation-eco-ah-table-25x30cm-x30_24121,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/58/35/eab560057517eb5d60dfc04594c8.jpg,https://api.eau-vive.com/media/cache/drive_card_list/58/35/eab560057517eb5d60dfc04594c8.jpg,NON,7.0,7.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
6722,1,ean,80033,80033,NON,,3760275571328,OUI,Sauce piment doux Autour du Riz 200ml,Sauce piment doux Autour du Riz 200ml,NON,Autour du Riz,Autour du Riz,NON,200g,200g,NON,https://eau-vive.com/magasin-bio/produit/sauce-piment-doux-autour-du-riz-200ml_80033,https://eau-vive.com/magasin-bio/produit/sauce-piment-doux-autour-du-riz-200ml_80033,NON,,,NON,,,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
6727,1,ean,109218,109218,NON,,3111900330108,OUI,Céréales Crosti Crush au chocolat au lait Favrichon 350g,Céréales Crosti Crush au chocolat au lait Favrichon 350g,NON,Favrichon,Favrichon,NON,375g,375g,NON,https://eau-vive.com/magasin-bio/produit/cereales-crosti-crush-au-chocolat-au-lait-favrichon-350g_109218,https://eau-vive.com/magasin-bio/produit/cereales-crosti-crush-au-chocolat-au-lait-favrichon-350g_109218,NON,,,NON,,,NON,3.0,3.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
7094,1,ean,65222,65222,NON,,3760103146469,OUI,Riz jasmin blanc Autour du Riz 2kg,Riz jasmin blanc Autour du Riz 2kg,NON,Autour du Riz,Autour du Riz,NON,2Kg,2Kg,NON,https://eau-vive.com/magasin-bio/produit/riz-jasmin-blanc-autour-du-riz-2kg_65222,https://eau-vive.com/magasin-bio/produit/riz-jasmin-blanc-autour-du-riz-2kg_65222,NON,,,NON,,,NON,2.0,2.0,NON,0,0,NON,2026-08-13,2026-08-13,NON
7254,1,ean,73764,73764,NON,,3770008500082,OUI,Purée choco noisette Go Nuts 265g,Purée choco noisette Go Nuts 265g,NON,Go Nuts,Go Nuts,NON,265g,265g,NON,https://eau-vive.com/magasin-bio/produit/puree-choco-noisette-265g_73764,https://eau-vive.com/magasin-bio/produit/puree-choco-noisette-265g_73764,NON,Local; Rhône,Local; Rhône,NON,https://api.eau-vive.com/media/cache/drive_card_list/8a/cf/f3cc9e9631b881f63b8d76c19e60.png,https://api.eau-vive.com/media/cache/drive_card_list/8a/cf/f3cc9e9631b881f63b8d76c19e60.png,NON,3.0,3.0,NON,0,0,NON,2026-08-16,2026-08-16,NON
7378,1,volume,71904,71904,NON,,,NON,Crème de Cassis Bigallet 50CL,Crème de Cassis Bigallet 50CL,NON,Bigallet,Bigallet,NON,13.25€ / pièce,,OUI,https://eau-vive.com/magasin-bio/produit/creme-de-cassis-bigallet-50cl_71904,https://eau-vive.com/magasin-bio/produit/creme-de-cassis-bigallet-50cl_71904,NON,,,NON,,,NON,4.0,4.0,NON,0,0,NON,2026-08-14,2026-08-14,NON
