id,Nb_colonnes_modifiees,Colonnes_modifiees,code_interne,code_interne_Base1,code_interne_Differe,ean,ean_Base1,ean_Differe,description,description_Base1,description_Differe,marque,marque_Base1,marque_Differe,volume,volume_Base1,volume_Differe,lien_fiche,lien_fiche_Base1,lien_fiche_Differe,caracteristique,caracteristique_Base1,caracteristique_Differe,url_img,url_img_Base1,url_img_Differe,categorie_id,categorie_id_Base1,categorie_id_Differe,ean_valide,ean_valide_Base1,ean_valide_Differe,date_validation,date_validation_Base1,date_validation_Differe
7972,2,"ean, volume",123356,123356,NON,,3760341009779,OUI,Gommage visage éclat routine éclat Endro 75ml,Gommage visage éclat routine éclat Endro 75ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/gommage-visage-eclat-routine-eclat-endro-75ml_123356,https://eau-vive.com/magasin-bio/produit/gommage-visage-eclat-routine-eclat-endro-75ml_123356,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7990,1,ean,22662,22662,NON,,3291960011763,OUI,Baume karité argan Emma Noël 140g,Baume karité argan Emma Noël 140g,NON,Emma Noël,Emma Noël,NON,140g,140g,NON,https://eau-vive.com/magasin-bio/produit/baume-karite-argan-emma-noel-140g_22662,https://eau-vive.com/magasin-bio/produit/baume-karite-argan-emma-noel-140g_22662,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8024,1,volume,123338,123338,NON,,,NON,Déodorant baume 48h monoï Endro 50ml,Déodorant baume 48h monoï Endro 50ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/deodorant-baume-48h-monoi-endro-50ml_123338,https://eau-vive.com/magasin-bio/produit/deodorant-baume-48h-monoi-endro-50ml_123338,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/6c/64/a43fbd463dd95034edaafb9aff45.jpg,https://api.eau-vive.com/media/cache/drive_card_list/6c/64/a43fbd463dd95034edaafb9aff45.jpg,NON,8.0,8.0,NON,0,0,NON,,,NON
8025,1,ean,92524,92524,NON,3760211483760,,OUI,Crème solaire SPF50 dorée Laboratoires de Biarritz,Crème solaire SPF50 dorée Laboratoires de Biarritz,NON,Laboratoires de Biarritz,Laboratoires de Biarritz,NON,90mL,90mL,NON,https://eau-vive.com/magasin-bio/produit/creme-solaire-spf50-doree-laboratoires-de-biarritz_92524,https://eau-vive.com/magasin-bio/produit/creme-solaire-spf50-doree-laboratoires-de-biarritz_92524,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/6f/27/4c177d4ca48680105e980c5fc2e8.jpg,https://api.eau-vive.com/media/cache/drive_card_list/6f/27/4c177d4ca48680105e980c5fc2e8.jpg,NON,8.0,8.0,NON,0,0,NON,,,NON
8035,1,ean,5472,5472,NON,,3291960008138,OUI,Moutarde forte de Dijon Emile Noël 700g,Moutarde forte de Dijon Emile Noël 700g,NON,Emile Noël,Emile Noël,NON,700g,700g,NON,https://eau-vive.com/magasin-bio/produit/moutarde-forte-de-dijon-emile-noel-700g_5472,https://eau-vive.com/magasin-bio/produit/moutarde-forte-de-dijon-emile-noel-700g_5472,NON,,,NON,,,NON,2.0,2.0,NON,0,0,NON,,,NON
8073,1,ean,116540,116540,NON,,3760349450122,OUI,Recharge gel lavant pomme Pimpant 25g,Recharge gel lavant pomme Pimpant 25g,NON,Pimpant,Pimpant,NON,25g,25g,NON,https://eau-vive.com/magasin-bio/produit/recharge-gel-lavant-pomme-pimpant-25g_116540,https://eau-vive.com/magasin-bio/produit/recharge-gel-lavant-pomme-pimpant-25g_116540,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8074,1,ean,105002,105002,NON,,3760349450016,OUI,Gel douche fleur d'oranger à diluer Pimpant 25g,Gel douche fleur d'oranger à diluer Pimpant 25g,NON,Pimpant,Pimpant,NON,25g,25g,NON,https://eau-vive.com/magasin-bio/produit/gel-douche-fleur-d-oranger-a-diluer-pimpant-25g_105002,https://eau-vive.com/magasin-bio/produit/gel-douche-fleur-d-oranger-a-diluer-pimpant-25g_105002,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8075,1,ean,121543,121543,NON,,3760349450023,OUI,Gel douche verveine citronnée en poudre Pimpant 25g,Gel douche verveine citronnée en poudre Pimpant 25g,NON,Pimpant,Pimpant,NON,25g,25g,NON,https://eau-vive.com/magasin-bio/produit/gel-douche-verveine-citronnee-en-poudre-pimpant-25g_121543,https://eau-vive.com/magasin-bio/produit/gel-douche-verveine-citronnee-en-poudre-pimpant-25g_121543,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8078,2,"ean, volume",123349,123349,NON,,3760341007126,OUI,Dentifrice enfants fruits rouges Endro 175g,Dentifrice enfants fruits rouges Endro 175g,NON,Endro,Endro,NON,1Kg,,OUI,https://eau-vive.com/magasin-bio/produit/dentifrice-enfants-fruits-rouges-endro-175g_123349,https://eau-vive.com/magasin-bio/produit/dentifrice-enfants-fruits-rouges-endro-175g_123349,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8079,2,"ean, volume",123350,123350,NON,,3760341007133,OUI,Dentifrice blancheur menthe glaciale Endro 175g,Dentifrice blancheur menthe glaciale Endro 175g,NON,Endro,Endro,NON,1Kg,,OUI,https://eau-vive.com/magasin-bio/produit/dentifrice-blancheur-menthe-glaciale-endro-175g_123350,https://eau-vive.com/magasin-bio/produit/dentifrice-blancheur-menthe-glaciale-endro-175g_123350,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8080,2,"ean, volume",123354,123354,NON,,3760341009755,OUI,Recharge pour dentifrice enfants fruits rouge Endro 350g,Recharge pour dentifrice enfants fruits rouge Endro 350g,NON,Endro,Endro,NON,1Kg,,OUI,https://eau-vive.com/magasin-bio/produit/recharge-pour-dentifrice-enfants-fruits-rouge-endro-350g_123354,https://eau-vive.com/magasin-bio/produit/recharge-pour-dentifrice-enfants-fruits-rouge-endro-350g_123354,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8081,2,"ean, volume",123351,123351,NON,,3760341009342,OUI,Gelée nettoyante routine hydratante Endro 150ml,Gelée nettoyante routine hydratante Endro 150ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/gelee-nettoyante-routine-hydratante-endro-150ml_123351,https://eau-vive.com/magasin-bio/produit/gelee-nettoyante-routine-hydratante-endro-150ml_123351,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8082,1,ean,123358,123358,NON,,3760349450924,OUI,Eau micellaire Pimpant 9g,Eau micellaire Pimpant 9g,NON,Pimpant,Pimpant,NON,9g,9g,NON,https://eau-vive.com/magasin-bio/produit/eau-micellaire-pimpant-9g_123358,https://eau-vive.com/magasin-bio/produit/eau-micellaire-pimpant-9g_123358,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8084,2,"ean, volume",123355,123355,NON,,3760341009762,OUI,Masque visage hydratant routine hydratante Endro 75ml,Masque visage hydratant routine hydratante Endro 75ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/masque-visage-hydratant-routine-hydratante-endro-75ml_123355,https://eau-vive.com/magasin-bio/produit/masque-visage-hydratant-routine-hydratante-endro-75ml_123355,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8085,2,"ean, volume",123344,123344,NON,,3701761500590,OUI,Gel crème matifiant visage routine purifiante Endro 50ml,Gel crème matifiant visage routine purifiante Endro 50ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/gel-creme-matifiant-visage-routine-purifiante-endro-50ml_123344,https://eau-vive.com/magasin-bio/produit/gel-creme-matifiant-visage-routine-purifiante-endro-50ml_123344,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8295,1,ean,75568,75568,NON,3760211483845,,OUI,Stick solaire teinté SPF50+ Laboratoires de Biarritz 9G,Stick solaire teinté SPF50+ Laboratoires de Biarritz 9G,NON,Laboratoires de Biarritz,Laboratoires de Biarritz,NON,1 583.33€ / Unité,1 583.33€ / Unité,NON,https://eau-vive.com/magasin-bio/produit/stick-solaire-teinte-spf50-laboratoires-de-biarritz-9g_75568,https://eau-vive.com/magasin-bio/produit/stick-solaire-teinte-spf50-laboratoires-de-biarritz-9g_75568,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8327,1,ean,77522,77522,NON,3760211482107,,OUI,Crème réparatrice mains Laboratoires de Biarritz 50ml,Crème réparatrice mains Laboratoires de Biarritz 50ml,NON,Laboratoires de Biarritz,Laboratoires de Biarritz,NON,50mL,50mL,NON,https://eau-vive.com/magasin-bio/produit/creme-reparatrice-mains-laboratoires-de-biarritz-50ml_77522,https://eau-vive.com/magasin-bio/produit/creme-reparatrice-mains-laboratoires-de-biarritz-50ml_77522,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8396,2,"ean, volume",123342,123342,NON,,3701761500576,OUI,Crème nourrissante visage routine nutri-réparatrice Endro 50ml,Crème nourrissante visage routine nutri-réparatrice Endro 50ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/creme-nourrissante-visage-routine-nutri-reparatrice-endro-50ml_123342,https://eau-vive.com/magasin-bio/produit/creme-nourrissante-visage-routine-nutri-reparatrice-endro-50ml_123342,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8479,2,"ean, volume",94017,94017,NON,,3336770054323,OUI,Vrac sirop citron Bigallet 5l,Vrac sirop citron Bigallet 5l,NON,Bigallet,Bigallet,NON,1Kg | 1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-citron_94017,https://eau-vive.com/magasin-bio/produit/vrac-sirop-citron_94017,NON,Local,Local,NON,,,NON,4.0,4.0,NON,0,0,NON,,,NON
8480,2,"ean, volume",94019,94019,NON,,3336770054354,OUI,Vrac sirop fraise Bigallet 5l,Vrac sirop fraise Bigallet 5l,NON,Bigallet,Bigallet,NON,1Kg | 1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-fraise_94019,https://eau-vive.com/magasin-bio/produit/vrac-sirop-fraise_94019,NON,Local; val de virieu 38730,Local; val de virieu 38730,NON,,,NON,4.0,4.0,NON,0,0,NON,,,NON
8481,1,volume,94018,94018,NON,,,NON,Vrac sirop fleur de sureau Bigallet 5l,Vrac sirop fleur de sureau Bigallet 5l,NON,Bigallet,Bigallet,NON,1Kg | 1.25Kg | 1.5Kg | 2Kg,,OUI,https://eau-vive.com/magasin-bio/produit/vrac-sirop-fleur-de-sureau_94018,https://eau-vive.com/magasin-bio/produit/vrac-sirop-fleur-de-sureau_94018,NON,Local,Local,NON,,,NON,4.0,4.0,NON,0,0,NON,,,NON
8607,2,"ean, volume",123353,123353,NON,,3760341009748,OUI,Recharge pour dentifrice blancheur menthe glaciale Endro 350g,Recharge pour dentifrice blancheur menthe glaciale Endro 350g,NON,Endro,Endro,NON,1Kg,,OUI,https://eau-vive.com/magasin-bio/produit/recharge-pour-dentifrice-blancheur-menthe-glaciale-endro-350g_123353,https://eau-vive.com/magasin-bio/produit/recharge-pour-dentifrice-blancheur-menthe-glaciale-endro-350g_123353,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
8797,1,ean,72337,72337,NON,3252920034321,,OUI,Lait bio entier UHT brique Grandeur Nature 1L,Lait bio entier UHT brique Grandeur Nature 1L,NON,Grandeur Nature,Grandeur Nature,NON,1L,1L,NON,https://eau-vive.com/magasin-bio/produit/lait-bio-entier-uht-brique-grandeur-nature-1l_72337,https://eau-vive.com/magasin-bio/produit/lait-bio-entier-uht-brique-grandeur-nature-1l_72337,NON,,,NON,,,NON,5.0,5.0,NON,0,0,NON,,,NON
8798,1,ean,72331,72331,NON,3252920034192,,OUI,Lait bio uht 1/2 écrémé 50 cl - Grandeur Nature,Lait bio uht 1/2 écrémé 50 cl - Grandeur Nature,NON,Grandeur Nature,Grandeur Nature,NON,50cL,50cL,NON,https://eau-vive.com/magasin-bio/produit/lait-bio-uht-1-2-ecreme-50-cl-grandeur-nature_72331,https://eau-vive.com/magasin-bio/produit/lait-bio-uht-1-2-ecreme-50-cl-grandeur-nature_72331,NON,,,NON,,,NON,5.0,5.0,NON,0,0,NON,,,NON
8799,1,ean,72333,72333,NON,3252920034161,,OUI,Lait bio uht 1/2 écrémé 1L - Grandeur Nature,Lait bio uht 1/2 écrémé 1L - Grandeur Nature,NON,Grandeur Nature,Grandeur Nature,NON,1L,1L,NON,https://eau-vive.com/magasin-bio/produit/lait-bio-uht-1-2-ecreme-1l-grandeur-nature_72333,https://eau-vive.com/magasin-bio/produit/lait-bio-uht-1-2-ecreme-1l-grandeur-nature_72333,NON,,,NON,,,NON,5.0,5.0,NON,0,0,NON,,,NON
